impl,mode,workload,class,n,successes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
json-canon,canonicalize,trailing-comma,invalid,3,0,6.289968,6.409208,6.419807,6.213122,0.315333,6.281667,7360.000000,0.000000
schubfach,canonicalize,trailing-comma,invalid,3,0,5.685173,5.994241,6.021714,5.782561,1.046667,5.119333,7360.000000,0.000000
json-canon,verify,trailing-comma,invalid,3,0,6.097222,7.859057,8.015664,6.618989,0.561667,6.569667,7360.000000,0.000000
schubfach,verify,trailing-comma,invalid,3,0,5.774196,6.007592,6.028338,5.838984,1.405333,4.851000,7360.000000,0.000000
json-canon,canonicalize,truncated,invalid,3,0,6.202115,6.949101,7.015499,6.444731,0.719000,6.065333,7360.000000,0.000000
schubfach,canonicalize,truncated,invalid,3,0,5.579179,7.131545,7.269533,6.130774,0.759333,5.721000,7360.000000,0.000000
json-canon,verify,truncated,invalid,3,0,7.128590,7.900695,7.969326,7.062427,2.955667,4.482000,7360.000000,0.000000
schubfach,verify,truncated,invalid,3,0,6.357463,7.476302,7.575754,6.660539,1.846667,5.196333,7360.000000,0.000000
json-canon,canonicalize,unicode,valid,3,3,1.666148,1.794612,1.806031,1.655613,0.286000,1.427333,8360.000000,0.056803
schubfach,canonicalize,unicode,valid,3,3,1.809733,1.862957,1.867688,1.704180,0.000000,1.598667,8360.000000,0.055610
json-canon,verify,unicode,valid,3,3,1.131792,1.239857,1.249463,1.153914,0.430333,0.764667,8360.000000,0.079649
schubfach,verify,unicode,valid,3,3,1.499110,1.598436,1.607265,1.443167,0.563667,0.926333,8360.000000,0.064314
