impl,mode,workload,class,n,successes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
schubfach,canonicalize,small,valid,3,3,6.109451,6.341179,6.361777,6.098291,1.943000,4.420000,9300.000000,0.007047
json-canon,verify,small,valid,3,3,4.125519,4.603310,4.645780,4.016264,0.764000,3.432667,9300.000000,0.010191
schubfach,verify,small,valid,3,3,4.400940,6.752709,6.961755,4.912921,0.658333,4.488667,9300.000000,0.008954
json-canon,canonicalize,trailing-comma,invalid,3,0,6.413283,6.417422,6.417790,6.238617,1.760667,4.780333,7840.000000,0.000000
schubfach,canonicalize,trailing-comma,invalid,3,0,6.223214,6.700172,6.742568,6.211933,0.338333,6.289000,7840.000000,0.000000
json-canon,verify,trailing-comma,invalid,3,0,6.187535,7.244811,7.338791,6.436860,1.080667,5.757667,7840.000000,0.000000
schubfach,verify,trailing-comma,invalid,3,0,3.843539,4.069228,4.089289,3.642621,0.700667,3.133000,7840.000000,0.000000
json-canon,canonicalize,truncated,invalid,3,0,3.143026,3.444402,3.471191,3.244462,1.025667,2.334667,7840.000000,0.000000
schubfach,canonicalize,truncated,invalid,3,0,5.736863,7.598004,7.763438,5.968186,1.578667,4.706333,7840.000000,0.000000
json-canon,verify,truncated,invalid,3,0,4.157190,4.534825,4.568392,4.088661,0.975000,3.371667,7840.000000,0.000000
schubfach,verify,truncated,invalid,3,0,4.067179,4.366929,4.393574,4.032356,0.278667,3.960333,7840.000000,0.000000
json-canon,canonicalize,unicode,valid,3,3,4.213582,5.051451,5.125929,4.389619,0.816667,3.773667,9300.000000,0.021624
schubfach,canonicalize,unicode,valid,3,3,2.728839,3.006193,3.030847,2.749036,1.176333,1.695333,9300.000000,0.034230
json-canon,verify,unicode,valid,3,3,5.996866,7.826025,7.988617,6.650764,0.699333,6.287667,9300.000000,0.014039
schubfach,verify,unicode,valid,3,3,6.034359,6.381834,6.412720,5.951215,1.092667,5.053667,9300.000000,0.015463
